LV,T1,T2,T3,T4,T5,T6,T7
0,0.01,0.022,0.03625,0.05325,0.073,0.088,0.1025
10,0.01,0.022,0.03625,0.05325,0.073,0.088,0.1025
20,0.01,0.022,0.03625,0.05325,0.073,0.088,0.1025
30,0.01,0.022,0.03625,0.05325,0.073,0.088,0.1025
40,0.02,0.044,0.0725,0.1065,0.146,0.176,0.205
50,0.02,0.044,0.0725,0.1065,0.146,0.176,0.205
60,0.02,0.044,0.0725,0.1065,0.146,0.176,0.205
70,0.02,0.044,0.0725,0.1065,0.146,0.176,0.205
80,0.03,0.066,0.10874999999999999,0.15975,0.21899999999999997,0.264,0.3075
90,0.03,0.066,0.10874999999999999,0.15975,0.21899999999999997,0.264,0.3075
100,0.03,0.066,0.10874999999999999,0.15975,0.21899999999999997,0.264,0.3075
110,0.03,0.066,0.10874999999999999,0.15975,0.21899999999999997,0.264,0.3075
120,0.04,0.088,0.145,0.213,0.292,0.352,0.41
130,0.04,0.088,0.145,0.213,0.292,0.352,0.41
140,0.04,0.088,0.145,0.213,0.292,0.352,0.41
150,0.04,0.088,0.145,0.213,0.292,0.352,0.41
160,0.05,0.11000000000000001,0.18125,0.26625,0.365,0.44000000000000006,0.5125
170,0.05,0.11000000000000001,0.18125,0.26625,0.365,0.44000000000000006,0.5125
180,0.05,0.11000000000000001,0.18125,0.26625,0.365,0.44000000000000006,0.5125
190,0.05,0.11000000000000001,0.18125,0.26625,0.365,0.44000000000000006,0.5125
200,0.060000000000000005,0.132,0.2175,0.3195,0.438,0.528,0.615
210,0.060000000000000005,0.132,0.2175,0.3195,0.438,0.528,0.615
220,0.060000000000000005,0.132,0.2175,0.3195,0.438,0.528,0.615
230,0.060000000000000005,0.132,0.2175,0.3195,0.438,0.528,0.615
240,0.07,0.154,0.25375,0.37275,0.511,0.616,0.7175
250,0.07,0.154,0.25375,0.37275,0.511,0.616,0.7175
260,0.07,0.154,0.25375,0.37275,0.511,0.616,0.7175
270,0.07,0.154,0.25375,0.37275,0.511,0.616,0.7175
