LV,T1,T2,T3,T4,T5,T6,T7
0,3,6,9,12,15,18,21
10,30,60,90,120,150,180,210
20,60,120,180,240,300,360,420
30,90,180,270,360,450,540,630
40,120,240,360,480,600,720,840
50,150,300,450,600,750,900,1050
60,180,360,540,720,900,1080,1260
70,210,420,630,840,1050,1260,1470
80,240,480,720,960,1200,1440,1680
90,270,540,810,1080,1350,1620,1890
100,300,600,900,1200,1500,1800,2100
110,330,660,990,1320,1650,1980,2310
120,360,720,1080,1440,1800,2160,2520
130,390,780,1170,1560,1950,2340,2730
140,420,840,1260,1680,2100,2520,2940
150,450,900,1350,1800,2250,2700,3150
160,480,960,1440,1920,2400,2880,3360
170,510,1020,1530,2040,2550,3060,3570
180,540,1080,1620,2160,2700,3240,3780
190,570,1140,1710,2280,2850,3420,3990
200,600,1200,1800,2400,3000,3600,4200
