LV,T1,T2,T3,T4,T5,T6,T7
0,1,2,3,4,5,6,7
10,1,2,3,4,5,6,7
20,1,2,3,4,5,6,7
30,1,2,3,4,5,6,7
40,1,2,3,4,5,6,7
50,1,2,3,4,5,6,7
60,1,2,3,4,5,6,7
70,1,2,3,4,5,6,7
80,1,2,3,4,5,6,7
90,1,2,3,4,5,6,7
100,1,2,3,4,5,6,7
110,1,2,3,4,5,6,7
120,1,2,3,4,5,6,7
130,1,2,3,4,5,6,7
140,1,2,3,4,5,6,7
150,1,2,3,4,5,6,7
160,1,2,3,4,5,6,7
170,1,2,3,4,5,6,7
180,1,2,3,4,5,6,7
190,1,2,3,4,5,6,7
200,1,2,3,4,5,6,7
210,1,2,3,4,5,6,7
220,1,2,3,4,5,6,7
230,1,2,3,4,5,6,7
240,1,2,3,4,5,6,7
250,1,2,3,4,5,6,7
260,1,2,3,4,5,6,7
270,1,2,3,4,5,6,7
